station_name,borough,full_name,url
Warren Street,Camden,Warren Street tube station,https://en.wikipedia.org/wiki/Warren_Street_tube_station
West Hampstead,Camden,West Hampstead tube station,https://en.wikipedia.org/wiki/West_Hampstead_tube_station
Baker Street,Westminster,Baker Street tube station,https://en.wikipedia.org/wiki/Baker_Street_tube_station
Bayswater,Westminster,Bayswater tube station,https://en.wikipedia.org/wiki/Bayswater_tube_station
Bond Street,Westminster,Bond Street station,https://en.wikipedia.org/wiki/Bond_Street_station
Charing Cross,Westminster,Charing Cross tube station,https://en.wikipedia.org/wiki/Charing_Cross_tube_station
Covent Garden,Westminster,Covent Garden tube station,https://en.wikipedia.org/wiki/Covent_Garden_tube_station
Edgware Road (Bakerloo line),Westminster,Edgware Road tube station (Bakerloo line),https://en.wikipedia.org/wiki/Edgware_Road_tube_station_(Bakerloo_line)
"Edgware Road (Circle, District and Hammersmith & City lines)",Westminster,"Edgware Road tube station (Circle, District and Hammersmith & City lines)","https://en.wikipedia.org/wiki/Edgware_Road_tube_station_(Circle,_District_and_Hammersmith_%26_City_lines)"
Embankment,Westminster,Embankment tube station,https://en.wikipedia.org/wiki/Embankment_tube_station
Great Portland Street,Westminster,Great Portland Street tube station,https://en.wikipedia.org/wiki/Great_Portland_Street_tube_station
Green Park,Westminster,Green Park tube station,https://en.wikipedia.org/wiki/Green_Park_tube_station
Hyde Park Corner,Westminster,Hyde Park Corner tube station,https://en.wikipedia.org/wiki/Hyde_Park_Corner_tube_station
Lancaster Gate,Westminster,Lancaster Gate tube station,https://en.wikipedia.org/wiki/Lancaster_Gate_tube_station
Leicester Square,Westminster,Leicester Square tube station,https://en.wikipedia.org/wiki/Leicester_Square_tube_station
London Victoria,Westminster,London Victoria station,https://en.wikipedia.org/wiki/London_Victoria_station
Maida Vale,Westminster,Maida Vale tube station,https://en.wikipedia.org/wiki/Maida_Vale_tube_station
Marble Arch,Westminster,Marble Arch tube station,https://en.wikipedia.org/wiki/Marble_Arch_tube_station
Marylebone,Westminster,Marylebone station,https://en.wikipedia.org/wiki/Marylebone_station
Oxford Circus,Westminster,Oxford Circus tube station,https://en.wikipedia.org/wiki/Oxford_Circus_tube_station
"Paddington (Bakerloo, Circle and District lines)",Westminster,"Paddington tube station (Bakerloo, Circle and District lines)","https://en.wikipedia.org/wiki/Paddington_tube_station_(Bakerloo,_Circle_and_District_lines)"
Paddington (Circle and Hammersmith & City lines),Westminster,Paddington tube station (Circle and Hammersmith & City lines),https://en.wikipedia.org/wiki/Paddington_tube_station_(Circle_and_Hammersmith_%26_City_lines)
Piccadilly Circus,Westminster,Piccadilly Circus tube station,https://en.wikipedia.org/wiki/Piccadilly_Circus_tube_station
Pimlico,Westminster,Pimlico tube station,https://en.wikipedia.org/wiki/Pimlico_tube_station
Queensway,Westminster,Queensway tube station,https://en.wikipedia.org/wiki/Queensway_tube_station
Regent's Park,Westminster,Regent's Park tube station,https://en.wikipedia.org/wiki/Regent%27s_Park_tube_station
Royal Oak,Westminster,Royal Oak tube station,https://en.wikipedia.org/wiki/Royal_Oak_tube_station
St John's Wood,Westminster,St John's Wood tube station,https://en.wikipedia.org/wiki/St_John%27s_Wood_tube_station
St James's Park,Westminster,St James's Park tube station,https://en.wikipedia.org/wiki/St_James%27s_Park_tube_station
