NLC,Station,Borough
680,Queen's Park,Brent
5424,Queens Road Peckham,Southwark
679,Queensbury,Brent
681,Queensway,Westminster
682,Ravenscourt Park,Hammersmith & Fulham
683,Rayners Lane,Harrow
3149,Reading,Out of London
6967,Rectory Road,Hackney
684,Redbridge,Redbridge
685,Regent's Park,Westminster
686,Richmond,Richmond upon Thames
687,Rickmansworth,Out of London
688,Roding Valley,Out of London
6886,Romford,Havering
1039,Rotherhithe,Southwark
890,Royal Albert,Newham
690,Royal Oak,Westminster
886,Royal Victoria,Newham
691,Ruislip,Hillingdon
692,Ruislip Gardens,Hillingdon
693,Ruislip Manor,Hillingdon
694,Russell Square,Camden
6893,Seven Kings,Redbridge
698,Seven Sisters,Haringey
860,Shadwell DLR,Tower Hamlets
1082,Shadwell LO,Tower Hamlets
6888,Shenfield,Out of London
700,Shepherd's Bush LU,Hammersmith & Fulham
775,Shepherd's Bush Market,Hammersmith & Fulham
9587,Shepherd's Bush NR,Hammersmith & Fulham
1024,Shoreditch High Street,Tower Hamlets
6972,Silver Street,Enfield
702,Sloane Square,Kensington & Chelsea
3172,Slough,Out of London
703,Snaresbrook,Redbridge
1452,South Acton,Ealing
704,South Ealing,Ealing
1451,South Hampstead,Camden
707,South Harrow,Harrow
708,South Kensington,Kensington & Chelsea
709,South Kenton,Brent
861,South Quay,Tower Hamlets
710,South Ruislip,Hillingdon
7404,South Tottenham,Haringey
711,South Wimbledon,Merton
712,South Woodford,Redbridge
3187,Southall,Ealing
6947,Southbury,Enfield
705,Southfields,Wandsworth
706,Southgate,Enfield
784,Southwark,Southwark
6973,St James Street,Waltham Forest
695,St. James's Park,Westminster
696,St. John's Wood,Westminster
697,St. Paul's,City of London
713,Stamford Brook,Hounslow
6968,Stamford Hill,Hackney
714,Stanmore,Harrow
889,Star Lane,Newham
715,Stepney Green,Tower Hamlets
716,Stockwell,Lambeth
6934,Stoke Newington,Hackney
717,Stonebridge Park,Brent
719,Stratford,Newham
749,Stratford High Street,Newham
504,Stratford International DLR,Newham
720,Sudbury Hill,Harrow
721,Sudbury Town,Brent
1083,Surrey Quays,Southwark
723,Swiss Cottage,Camden
5437,Sydenham,Lewisham
3151,Taplow,Out of London
724,Temple,Westminster
6949,Theobalds Grove,Out of London
725,Theydon Bois,Out of London
726,Tooting Bec,Wandsworth
727,Tooting Broadway,Wandsworth
728,Tottenham Court Road,Westminster
729,Tottenham Hale LU,Haringey
730,Totteridge & Whetstone,Barnet
864,Tower Gateway,Tower Hamlets
731,Tower Hill,Tower Hamlets
733,Tufnell Park,Islington
6952,Turkey Street,Enfield
734,Turnham Green,Hounslow
735,Turnpike Lane,Haringey
3155,Twyford,Out of London
736,Upminster,Havering
737,Upminster Bridge,Havering
738,Upney,Barking & Dagenham
1524,Upper Holloway,Islington
739,Upton Park,Newham
740,Uxbridge,Hillingdon
777,Vauxhall LU,Lambeth
741,Victoria LU,Westminster
742,Walthamstow Central,Waltham Forest
7407,Walthamstow Queen's Road,Waltham Forest
5372,Wandsworth Road,Lambeth
743,Wanstead,Redbridge
7408,Wanstead Park,Newham
1085,Wapping,Tower Hamlets
745,Warren Street,Camden
746,Warwick Avenue,Westminster
747,Waterloo LU,Lambeth
748,Watford,Out of London
1455,Watford High Street,Out of London
1402,Watford Junction,Out of London
751,Wembley Central,Brent
752,Wembley Park,Brent
753,West Acton,Ealing
755,West Brompton,Kensington & Chelsea
5411,West Croydon NR,Croydon
3174,West Drayton,Hillingdon
3188,West Ealing,Ealing
756,West Finchley,Barnet
757,West Ham,Newham
1421,West Hampstead LO,Camden
758,West Hampstead LU,Camden
759,West Harrow,Harrow
866,West India Quay,Tower Hamlets
760,West Kensington,Hammersmith & Fulham
762,West Ruislip,Hillingdon
559,West Silvertown,Newham
754,Westbourne Park,Westminster
865,Westferry,Tower Hamlets
761,Westminster,Westminster
764,White City,Hammersmith & Fulham
6956,White Hart Lane,Haringey
763,Whitechapel,Tower Hamlets
765,Willesden Green,Brent
766,Willesden Junction,Brent
767,Wimbledon,Merton
768,Wimbledon Park,Merton
770,Wood Green,Haringey
599,Wood Lane,Hammersmith & Fulham
6954,Wood Street,Waltham Forest
769,Woodford,Redbridge
7467,Woodgrange Park,Newham
771,Woodside Park,Barnet
573,Woolwich Arsenal,Greenwich
6562,Woolwich EL,Greenwich
