station_name,borough,full_name,borough_standardized
South Ruislip,Hillingdon,South Ruislip station,Hillingdon
Uxbridge,Hillingdon,Uxbridge tube station,Hillingdon
West Ruislip,Hillingdon,West Ruislip station,Hillingdon
Boston Manor,Hounslow,Boston Manor tube station,Hounslow
Emlyn Road,Hounslow,Emlyn Road tube station,Hounslow
Gunnersbury,Hounslow,Gunnersbury station,Hounslow
Heathfield Terrace,Hounslow,Heathfield Terrace tube station,Hounslow
Hounslow Central,Hounslow,Hounslow Central tube station,Hounslow
Hounslow East,Hounslow,Hounslow East tube station,Hounslow
Hounslow Town,Hounslow,Hounslow Town tube station,Hounslow
Hounslow West,Hounslow,Hounslow West tube station,Hounslow
Osterley,Hounslow,Osterley tube station,Hounslow
Stamford Brook,Hounslow,Stamford Brook tube station,Hounslow
Turnham Green,Hounslow,Turnham Green tube station,Hounslow
Angel,Islington,Angel tube station,Islington
Archway,Islington,Archway tube station,Islington
Arsenal,Islington,Arsenal tube station,Islington
Caledonian Road,Islington,Caledonian Road tube station,Islington
City Road,Islington,City Road tube station,Islington
Farringdon,Islington,Farringdon station,Islington
Finsbury Park,Islington,Finsbury Park station,Islington
Highbury & Islington,Islington,Highbury & Islington station,Islington
Holloway Road,Islington,Holloway Road tube station,Islington
Old Street,Islington,Old Street station,Islington
Tufnell Park,Islington,Tufnell Park tube station,Islington
Earl's Court,Kensington & Chelsea,Earl's Court tube station,Kensington & Chelsea
Gloucester Road,Kensington & Chelsea,Gloucester Road tube station,Kensington & Chelsea
High Street Kensington,Kensington & Chelsea,High Street Kensington tube station,Kensington & Chelsea
Holland Park,Kensington & Chelsea,Holland Park tube station,Kensington & Chelsea
Kensington (Olympia),Kensington & Chelsea,Kensington (Olympia) station,Kensington & Chelsea
Knightsbridge,Kensington & Chelsea,Knightsbridge tube station,Kensington & Chelsea
Ladbroke Grove,Kensington & Chelsea,Ladbroke Grove tube station,Kensington & Chelsea
Latimer Road,Kensington & Chelsea,Latimer Road tube station,Kensington & Chelsea
