station_name,borough,borough_standardized,system,full_name
Acton Town,Ealing,Ealing,Tube,Acton Town tube station
Chiswick Park,Ealing,Ealing,Tube,Chiswick Park tube station
Ealing Broadway,Ealing,Ealing,Tube,Ealing Broadway station
Ealing Common,Ealing,Ealing,Tube,Ealing Common tube station
Greenford,Ealing,Ealing,Tube,Greenford station
Hanger Lane,Ealing,Ealing,Tube,Hanger Lane tube station
North Acton,Ealing,Ealing,Tube,North Acton tube station
North Ealing,Ealing,Ealing,Tube,North Ealing tube station
Northfields,Ealing,Ealing,Tube,Northfields tube station
Northolt,Ealing,Ealing,Tube,Northolt tube station
Park Royal,Ealing,Ealing,Tube,Park Royal tube station
Perivale,Ealing,Ealing,Tube,Perivale tube station
South Ealing,Ealing,Ealing,Tube,South Ealing tube station
West Acton,Ealing,Ealing,Tube,West Acton tube station
Arnos Grove,Enfield,Enfield,Tube,Arnos Grove tube station
Cockfosters,Enfield,Enfield,Tube,Cockfosters tube station
Oakwood,Enfield,Enfield,Tube,Oakwood tube station
Southgate,Enfield,Enfield,Tube,Southgate tube station
North Greenwich,Greenwich,Greenwich,Tube,North Greenwich tube station
Manor House,Hackney,Hackney,Tube,Manor House tube station
Barons Court,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Barons Court tube station
East Acton,Hammersmith & Fulham,Hammersmith & Fulham,Tube,East Acton tube station
Fulham Broadway,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Fulham Broadway tube station
Goldhawk Road,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Goldhawk Road tube station
Hammersmith (Dis),Hammersmith & Fulham,Hammersmith & Fulham,Tube,Hammersmith tube station (District and Piccadilly lines)
Hammersmith (H&C),Hammersmith & Fulham,Hammersmith & Fulham,Tube,Hammersmith tube station (Circle and Hammersmith & City lines)
Paddenswick Road,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Paddenswick Road tube station
Parsons Green,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Parsons Green tube station
Putney Bridge,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Putney Bridge tube station
Ravenscourt Park,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Ravenscourt Park tube station
Rylett Road,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Rylett Road tube station
Shepherd's Bush (Cen),Hammersmith & Fulham,Hammersmith & Fulham,Tube,Shepherd's Bush tube station
Shepherd's Bush Market,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Shepherd's Bush Market tube station
The Grove,Hammersmith & Fulham,Hammersmith & Fulham,Tube,The Grove tube station
West Kensington,Hammersmith & Fulham,Hammersmith & Fulham,Tube,West Kensington tube station
White City,Hammersmith & Fulham,Hammersmith & Fulham,Tube,White City tube station
Wood Lane,Hammersmith & Fulham,Hammersmith & Fulham,Tube,Wood Lane tube station
Bounds Green,Haringey,Haringey,Tube,Bounds Green tube station
Highgate,Haringey,Haringey,Tube,Highgate tube station
Seven Sisters,Haringey,Haringey,Tube,Seven Sisters station
Tottenham Hale,Haringey,Haringey,Tube,Tottenham Hale station
Turnpike Lane,Haringey,Haringey,Tube,Turnpike Lane tube station
Wood Green,Haringey,Haringey,Tube,Wood Green tube station
Canons Park,Harrow,Harrow,Tube,Canons Park tube station
Harrow & Wealdstone,Harrow,Harrow,Tube,Harrow & Wealdstone station
Harrow-on-the-Hill,Harrow,Harrow,Tube,Harrow-on-the-Hill station
North Harrow,Harrow,Harrow,Tube,North Harrow tube station
Pinner,Harrow,Harrow,Tube,Pinner tube station
Rayners Lane,Harrow,Harrow,Tube,Rayners Lane tube station
South Harrow,Harrow,Harrow,Tube,South Harrow tube station
Stanmore,Harrow,Harrow,Tube,Stanmore tube station
Sudbury Hill,Harrow,Harrow,Tube,Sudbury Hill tube station
West Harrow,Harrow,Harrow,Tube,West Harrow tube station
Elm Park,Havering,Havering,Tube,Elm Park tube station
